Tanggal,Rata-rata Harga
2024/07/07,Rp 16.321
2024/07/08,Rp 16.288
2024/07/09,Rp 16.471
2024/07/10,Rp 16.467
2024/07/11,Rp 16.250
2024/07/12,Rp 16.955
2024/07/13,Rp 16.955
2024/07/14,Rp 16.955
2024/07/15,Rp 16.959
2024/07/16,Rp 16.955
2024/07/17,Rp 16.914
2024/07/18,Rp 16.818
2024/07/19,Rp 16.846
2024/07/20,Rp 16.846
2024/07/21,Rp 16.846
2024/07/22,Rp 16.891
2024/07/23,Rp 16.850
2024/07/24,Rp 16.850
2024/07/25,Rp 16.842
2024/07/26,Rp 16.955
2024/07/27,Rp 16.955
2024/07/28,Rp 16.955
2024/07/29,Rp 16.968
2024/07/30,Rp 16.968
2024/07/31,Rp 16.968
2024/08/01,Rp 17.036
2024/08/02,Rp 16.950
2024/08/03,Rp 16.950
2024/08/04,Rp 16.950
2024/08/05,Rp 16.850
2024/08/06,Rp 16.896
2024/08/07,Rp 16.838
2024/08/08,Rp 16.850
2024/08/09,Rp 16.859
2024/08/10,Rp 16.859
2024/08/11,Rp 16.859
2024/08/12,Rp 16.833
2024/08/13,Rp 16.841
2024/08/14,Rp 16.891
2024/08/15,Rp 16.873
2024/08/16,Rp 16.829
2024/08/17,Rp 16.829
2024/08/18,Rp 16.829
2024/08/19,Rp 16.791
2024/08/20,Rp 16.927
2024/08/21,Rp 16.759
2024/08/22,Rp 16.918
2024/08/23,Rp 16.538
2024/08/24,Rp 14.150
2024/08/26,Rp 14.064
2024/08/27,Rp 16.977
2024/08/28,Rp 16.777
2024/08/29,Rp 16.818
2024/08/30,Rp 16.842
2024/08/31,Rp 16.842
2024/09/01,Rp 16.959
2024/09/02,Rp 16.786
2024/09/03,Rp 16.973
2024/09/04,Rp 16.838
2024/09/05,Rp 16.850
2024/09/06,Rp 16.825
2024/09/07,Rp 16.825
2024/09/08,Rp 16.825
2024/09/09,Rp 16.821
2024/09/10,Rp 16.936
2024/09/11,Rp 16.850
2024/09/12,Rp 16.821
2024/09/13,Rp 16.821
2024/09/14,Rp 16.821
2024/09/15,Rp 16.821
2024/09/16,Rp 16.241
2024/09/17,Rp 15.536
2024/09/18,Rp 15.532
2024/09/19,Rp 15.532
2024/09/20,Rp 15.532
2024/09/21,Rp 15.532
2024/09/22,Rp 15.532
2024/09/23,Rp 15.559
2024/09/24,Rp 15.527
2024/09/25,Rp 15.527
2024/09/26,Rp 15.527
2024/09/27,Rp 15.527
2024/09/28,Rp 15.527
